state,ArgentinaTTO,ArgentinaVAS,Australia,Belgium,Brazil,Canada,Chile,China,DenmarkTTO,DenmarkVAS,Europe,Finland,GermanyTTO,GermanyVAS,France,Italy,Japan,Korea,Malaysia,Netherlands,NewZealand,Poland,Portugal,Slovenia,Singapore,SpainTTO,SpainVAS,SriLanka,Sweden,Taiwan,Thailand,Trinidad_and_Tobago,UKTTO,UKVAS,USA,Zimbabwe
13331,0.114,0.204,0.101,0.196,0.281,0.262,-0.079,0.302,0.154,0.267,0.238,0.415,0.187,0.113,0.046,0.265,0.419,0.405,0.408,0.157,0.25,0.015,-0.25,0.356,-0.187,-0.08,0.206,-0.13,0.2828,-0.12,0.09,0.388,-0.044,0.233,0.199,0.232
13332,0.102,0.317,0.02,0.093,0.231,0.199,-0.179,0.216,0.086,0.176,0.149,0.255,0.187,0.092,-0.044,0.213,0.356,0.362,0.327,0.033,0.158,-0.011,-0.047,0.263,-0.3371,-0.142,0.155,-0.174,0.2276,-0.274,0.058,0.377,-0.115,0.17,0.182,0.186
13333,-0.05,0.148,0.02,-0.01,0.186,-0.018,-0.243,0.097,-0.213,0.085,0.109,0.219,0.122,0.053,-0.158,0.095,0.307,0.247,0.322,-0.168,0.066,-0.192,-0.278,0.17,-0.4654,-0.224,0.104,-0.324,0.0751,-0.402,-0.02,0.249,-0.28,0.109,0.084,0.059
21111,0.824,0.744,0.827,0.774,0.731,0.843,0.8,0.862,0.833,0.649,0.806,0.784,0.9,0.874,0.845,0.924,0.773,0.854,0.849,0.893,0.721,0.899,0.695,0.666,0.8322,0.87,0.76,0.682,0.9027,0.692,0.677,0.862,0.85,0.774,0.854,0.844
21112,0.772,0.652,0.73,0.671,0.681,0.78,0.7,0.776,0.765,0.558,0.717,0.624,0.9,0.715,0.755,0.872,0.71,0.811,0.768,0.769,0.629,0.873,0.658,0.573,0.6821,0.808,0.709,0.638,0.8475,0.538,0.645,0.851,0.779,0.711,0.827,0.798
21113,0.385,0.52,0.43,0.312,0.636,0.563,0.474,0.635,0.466,0.467,0.448,0.588,0.512,0.409,0.467,0.754,0.661,0.646,0.647,0.334,0.32,0.692,0.499,0.48,0.2633,0.435,0.446,0.488,0.262,0.22,0.428,0.723,0.345,0.435,0.543,0.671
21121,0.724,0.619,0.76,0.69,0.667,0.798,0.69,0.77,0.771,0.571,0.713,0.673,0.788,0.852,0.733,0.869,0.693,0.817,0.795,0.807,0.641,0.842,0.585,0.555,0.686,0.781,0.7,0.625,0.8682,0.571,0.605,0.798,0.727,0.69,0.81,0.777
21122,0.692,0.567,0.663,0.587,0.617,0.735,0.59,0.684,0.703,0.48,0.624,0.513,0.788,0.697,0.643,0.817,0.63,0.774,0.714,0.683,0.549,0.816,0.548,0.462,0.5359,0.719,0.649,0.581,0.813,0.417,0.573,0.787,0.656,0.627,0.761,0.731
21123,0.402,0.481,0.362,0.228,0.572,0.518,0.364,0.543,0.404,0.389,0.355,0.477,0.4,0.399,0.355,0.699,0.581,0.609,0.593,0.248,0.24,0.635,0.389,0.369,0.1171,0.346,0.386,0.431,0.2275,0.099,0.356,0.659,0.222,0.351,0.499,0.604
21131,0.312,0.479,0.378,0.35,0.563,0.545,0.429,0.604,0.437,0.493,0.414,0.631,0.262,0.408,0.406,0.633,0.579,0.653,0.606,0.33,0.344,0.41,0.428,0.444,0.3126,0.318,0.429,0.382,0.3793,0.241,0.329,0.632,0.195,0.388,0.456,0.542
